message_id,user_query,dewey_match,response,Pitt Cyber Notes,routing,risk,risk_note,created_at,email,conversation_id,Accurate?,Notes,Expert review,SheetName,Pitt Cyber notes
1176285,Who is ahead in the polls?,Who is currently leading in the Pennsylvania presidential polls?,"Outlets including 538 and RealClear publish polling averages that show which presidential candidate is currently leading Pennsylvania. For the most accurate and up-to-date information, we recommend checking these sources directly.",,near,5,"The output is fully validated by the context. It accurately mentions that outlets like 538 and RealClear publish polling averages for the Pennsylvania presidential polls. There are no notable additions, omissions, or inaccuracies in the output.",10/15/2024 15:31,,182730,,,,10/15/2024,
1175543,what district is zip code 15202,How do I know what district I'm in?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? How do I know what district I'm in? What is my legislative district?,,suggestion,,,10/15/2024 12:06,,182621,,,,10/15/2024,
1175543,what district is zip code 15202,What is my legislative district?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? How do I know what district I'm in? What is my legislative district?,,suggestion,,,10/15/2024 12:06,,182621,,,,10/15/2024,
1175537,What candidates are on the ballot for 15202,Who are the candidates in district 2?,I'm checking to see if we're on the same page. Do any of these questions spark something? Who are the candidates in district 2?,,suggestion,,,10/15/2024 12:06,,182621,,"Suggestion misinterprets question, suggests incorrect district",,10/15/2024,
1175165,Not voting for a office,What happens if no one runs for a particular office during an election in Pennsylvania?,Let's make sure you get the resources you need. Do one of these questions resonate? What happens if no one runs for a particular office during an election in Pennsylvania? Do I have to vote for every office on the ballot? Can I vote for someone not on the ballot?,,suggestion,,,10/15/2024 9:50,,182572,,,,10/15/2024,
1174888,Candidates for Senator in the PA General Assembly in 31st district,Who is running for PA Senate?,Let's make sure you get the resources you need. Do one of these questions resonate? Who is running for PA Senate? Who are the candidates for the state Senate in Pennsylvania? Who is running for PA House of Representatives?,,suggestion,,,10/15/2024 8:02,,182539,,,,10/15/2024,
1174394,who's running for auditor general in pa,Who is running for treasurer in PA?,I'm checking to see if we're on the same page. Do any of these questions spark something? Who are the major party nominees Pennsylvania Auditor General? Who are the third-party candidates for Pennsylvania Auditor General? Who is the Republican candidate for auditor general?,Should be able to respond as in above,suggestion,,,10/15/2024 1:16,,182488,See notes,"Unclear why it doesn't just provide a list of candidates running/why one of the suggestions is a question about the republican candidate but none of the others mention specific parties. Also, this question is missing a 'for', bolded here: ""Who are the major party nominees for Pennsylvania Auditor General?""",,10/15/2024,
1172661,Who should I vote for for State Treasurer?,Who is running for treasurer?,Let's make sure you get the resources you need. Do one of these questions resonate? Who is the Republican candidate for treasurer? Who are the candidates for treasurer? Who is the Democratic candidate for treasurer? ,,suggestion,,,10/14/2024 17:03,,182291,,,,10-11-24 & 10-14-24,"Want to use language below as in 1161367, re won't provide endorsements?"
1172268,what is auditor general,What does the auditor general do in Pennsylvania?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? What does the auditor general do in Pennsylvania? How long is the term for the auditor general in Pennsylvania? When is the election for auditor general taking place?,,suggestion,,,10/14/2024 15:03,,182239,,,,10-11-24 & 10-14-24,
1171701,Who has the best policy on recovery health care  and mental health care in presidential race and in pa,Who is likely to win the Presidential election in Pennsylvania?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/14/2024 12:24,,182168,,,,10-11-24 & 10-14-24,
1171701,Who has the best policy on recovery health care  and mental health care in presidential race and in pa,Who is running for PA House?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/14/2024 12:24,,182168,,,,10-11-24 & 10-14-24,
1162684,What are the most critical issues on the ballot for Pennsylvanians in the 2024 election?,What is on the ballot for Pennsylvanians this year?,I'm checking to see if we're on the same page. Do any of these questions spark something? What is on the ballot for Pennsylvanians this year? What are the most important elections in PA in 2024? What are the main issues in the Pennsylvania Senate race?,,suggestion,,,10/11/2024 16:16,,181063,,,,10-11-24 & 10-14-24,
1161732,Who will win the district 64 house race,Who will win the District 4 House race?,Let's make sure you get the resources you need. Do one of these questions resonate? Who will win the District 3 House race?,,suggestion,,,10/11/2024 11:55,,180948,,Ibid. (see below),,10-11-24 & 10-14-24,"Presumably won't be an ansewr to suggested question, Who will win the District 3 House race?"
1161729,Who will win the seat in district 64,Who will win the District 14 House race?,Let's make sure you get the resources you need. Do one of these questions resonate? Who will win the District 3 House race?,,suggestion,,,10/11/2024 11:54,,180948,,"Again, not sure why it proposes a question about District 3, not relevant.",,10-11-24 & 10-14-24,"Presumably won't be an ansewr to suggested question, Who will win the District 3 House race?"
1161725,What are the odds that Ron Johnson beats r lee James in district 64,Who will win the District 6 House race?,I'm checking to see if we're on the same page. Do any of these questions spark something? Who will win the District 3 House race?,,suggestion,,,10/11/2024 11:53,,180948,,"Not sure why it proposes a question about District 3, not relevant.",,10-11-24 & 10-14-24,"Presumably won't be an ansewr to suggested question, Who will win the District 3 House race?"
1158319,How do I change my voter registration status?,How do I check my voter registration?,I'm checking to see if we're on the same page. Do any of these questions spark something? How do I check my voter registration? How do I change my voter registration after I move? How do I register to vote? ,,suggestion,,,10/10/2024 13:13,,180531,,,,10/10/2024,Worth having an answer to
1157228,Where can I apply for ballot and vote same day?,Where can I register to vote?,Let's make sure you get the resources you need. Do one of these questions resonate? Where can I register to vote? How do I apply for an alternative ballot? How do I request a mail ballot?,,suggestion,,,10/10/2024 7:24,,180390,,,,10/10/2024,Might be helpful to have an answer about (no) same-day voting in PA + with registration deadline
1156307,Who is Kristin Marcell?,Who is Marianne Williamson?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/9/2024 22:27,,180289,,,,10/10/2024,Seems like strong desire for candidate information indicated by user logs; could do analyssis re info re candidates v. election administration info v. otherwise
1156297,"What can you tell me about Paul Lang Jr, a candidate for PA's 178th district?",Who is running for PA House?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who is running for PA House of Representatives? Which PA congresspeople are up for reelection? Where can I find more information about the candidates and elections in Pennsylvania?,,suggestion,,,10/9/2024 22:26,,180289,,,,10/10/2024,
1153987,who is ashely eha,Why should I vote for Ashley Ehaz?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/9/2024 12:47,,180013,,,,10/9/2024,
1153675,Janelle Stelson does not live in the 10th District? Why is she allowed to run for that office?,Who is running in the 10th congressional district?,Let's make sure you get the resources you need. Do one of these questions resonate? Who is running in the 10th congressional district? Who is running in the 11th congressional district? Who is running in the 9th congressional district?,,suggestion,,,10/9/2024 11:38,,179974,,,,10/9/2024,Could develop an answer for the does a candidate have to live in the district questions.
1153671,Does a congressional candidate have to live in the district?,Who is running in the 1st congressional district?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who are the candidates running for representative in my district?,,suggestion,,,10/9/2024 11:37,,179974,,System doesn't understand user's question/offer relevant suggested questions,,10/9/2024,Could develop an answer for the does a candidate have to live in the district questions.
1152743,who is the democratic candidate for senator in 21st. district general assembly,Who are the candidates in district 13?,I'm checking to see if we're on the same page. Do any of these questions spark something? Who is the Democratic candidate for U.S. Senate? Who are the candidates running for state senate in my district?,,suggestion,,,10/9/2024 6:21,,179860,,,,10/9/2024,
1152735,who is running for senator in  the 21st districe democratic side,Who is running for senator?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who is running for senator? Who is the Democratic candidate for U.S. Senate? Who is running in the 13th congressional district?,,suggestion,,,10/9/2024 6:17,,179860,,Ibid. (see notes below),,10/9/2024,None of these suggested questions get to what the user is asking; they are looking for PA Senate.
1152735,who is running for senator in  the 21st districe democratic side,Who is running in the 13th congressional district?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who is running for senator? Who is the Democratic candidate for U.S. Senate? Who is running in the 13th congressional district?,,suggestion,,,10/9/2024 6:17,,179860,,Suggestion: refer them to Spotlight PA's sample ballot/ engage with question about state senate district 21,,10/9/2024,None of these suggested questions get to what the user is asking; they are looking for PA Senate.
1150777,what are the issues in the patty kim race,What are the main issues in the Pennsylvania Senate race?,I'm checking to see if we're on the same page. Do any of these questions spark something? What are the main issues in the Pennsylvania Senate race? What are some of the biggest issues as stake during this election? What issues are most important to look at in PA?,,suggestion,,,10/8/2024 16:15,,179621,,,,10/9/2024,
1154738,"house senate, 45th district",Who is running in the 5th congressional district?,"Let's explore that! Do any of these resonate with you? If not, let me know if there is something particular you're curious about. Who is running in the 15th congressional district? Who is running in the 11th congressional district? Who is running in the 7th congressional district?",,,,,10/9/2024 15:47,,180107,,"Why is it suggesting other districts (15,11,7) instead of the district that was asked about, 45?",,10/9/2024,
1154038,Deluzio,Why should I vote for Chris Deluzio?,I can't find anything on that topic. Do you want to rephrase or try again?,,,,,10/9/2024 13:00,,180021,,Chris Deluzio is running for US House PA District 17 against Republican Rob Mercuri,,10/9/2024,
1150785,patty kim,Who is Kim Ward?,I can't find anything on that topic. Do you want to rephrase or try again?,,,,,10/8/2024 16:15,,179621,,Patty Kim is running for State Senator in PA's 15th district against Nick DiFrancesco.,,10/9/2024,
